precision,recall,f1,mean_iou,tp,fp,fn,conf,prompt
0.8847736625477993,0.7846715328438516,0.8317214695179226,0.8488759379532022,215,28,59,0.05,baseline
0.9189189189139518,0.6204379562021152,0.7407407402563118,0.850903744624436,170,15,104,0.15,baseline
0.9809523809430385,0.37591240875775217,0.5435356196493202,0.8519076679785933,103,2,171,0.25,baseline
0.999999999984127,0.22992700729843094,0.3738872400498728,0.8520796573171655,63,0,211,0.35,baseline
0.9999999999767443,0.15693430656877033,0.27129337515811686,0.8599290304337132,43,0,231,0.45,baseline
0.8730158730112539,0.6021897810197001,0.7127429800753281,0.8514774850020448,165,24,109,0.05,long
0.936363636355124,0.37591240875775217,0.5364583329217394,0.856496291070702,103,7,171,0.15,long
0.9999999999743591,0.14233576642283818,0.24920127773552855,0.8494593543725829,39,0,235,0.25,long
0.9999999999333333,0.05474452554724546,0.10380622827456568,0.847680853749699,15,0,259,0.35,long
0.9999999996666666,0.010948905109449092,0.02166064979791213,0.9025140231993293,3,0,271,0.45,long
0.5300668151435856,0.8686131386829613,0.6583679110074168,0.8463906138647647,238,211,36,0.05,variants
0.7657342657315883,0.7992700729897837,0.7821428566402934,0.8506198831017688,219,67,55,0.15,variants
0.9090909090853995,0.5474452554724546,0.683371297933178,0.8553864505798161,150,15,124,0.25,variants
0.9895833333230252,0.34671532846588793,0.5135135131264572,0.8569302757860666,95,1,179,0.35,variants
0.9999999999818182,0.2007299270065667,0.3343465042787853,0.860184063220337,55,0,219,0.45,variants
