precision,recall,f1,mean_iou,tp,fp,fn,conf,prompt
0.7210144901412519,0.8728070137157588,0.7896820410843371,0.6408646387393266,199,77,29,0.05,baseline
0.8030302989745944,0.7194570103191991,0.7589493785525115,0.6922204122962826,159,39,62,0.15,baseline
0.8888888812915481,0.47488584258042993,0.6190471614409503,0.7462605997524431,104,13,115,0.25,baseline
0.9295774516960923,0.30555555414094654,0.4599299380109591,0.7574832465337671,66,5,150,0.35,baseline
0.9428571159183682,0.15277777707047327,0.2629479650801343,0.7384899701390948,33,2,183,0.45,baseline
0.6180555534095293,0.7574468052874604,0.6806878390521605,0.5529443590288274,178,110,57,0.05,long
0.7531645521951611,0.5360360336214594,0.6263153003604877,0.655234968268146,119,39,103,0.15,long
0.9137930876932226,0.24537036923439645,0.3868609773032852,0.7448273510263678,53,5,163,0.25,long
0.9523809070294805,0.09259259216392318,0.1687762083713145,0.7615588832469213,20,1,196,0.35,long
0.9999998571428775,0.032407407257373115,0.0627802076857073,0.8207448295184544,7,0,209,0.45,long
0.528473802896415,0.906249996459961,0.6676254320255817,0.5083589117955827,232,207,24,0.05,variants
0.6938775481882549,0.7456140318174823,0.7188155652601032,0.6149743097589518,170,75,58,0.15,variants
0.8593749932861329,0.4999999977272727,0.6321834393582489,0.7228331472123822,110,18,110,0.25,variants
0.930555542631173,0.31018518374914267,0.4652773995469827,0.7595143488475254,67,5,149,0.35,variants
0.9428571159183682,0.15277777707047327,0.2629479650801343,0.7384899701390948,33,2,183,0.45,variants
