precision,recall,f1,mean_iou,tp,fp,fn,conf,prompt
0.5996810197772232,0.9082125581927233,0.7223818442330762,0.5495654769263905,376,251,38,0.05,baseline
0.7150837968852408,0.7485380095071988,0.7314280696003415,0.6329137769392132,256,102,86,0.15,baseline
0.8187499948828125,0.4564459914409547,0.5861292916538893,0.717702968015874,131,29,156,0.25,baseline
0.8392856992984697,0.16785714225765305,0.2797616253191507,0.7360668293809535,47,9,233,0.35,baseline
0.9130434385633287,0.07526881693452037,0.1390727060437322,0.7681860964664299,21,2,258,0.45,baseline
0.5418502190708145,0.7214076225178662,0.6188674330734466,0.4784991979558741,246,208,95,0.05,long
0.609302322747431,0.45172413637336506,0.5188113901622097,0.5305828362094174,131,84,159,0.15,long
0.671232867517358,0.17562723951388087,0.2784087605730877,0.5732723624016516,49,24,230,0.25,long
0.6153845917159773,0.05734767004534885,0.10491787614104969,0.4961277918124464,16,10,263,0.35,long
0.5555554938271674,0.017921146889171517,0.03472216143432015,0.3813144686800014,5,4,274,0.45,long
0.41679626717200907,0.9692585877590261,0.5829250817925745,0.42006297253448754,536,750,17,0.05,variants
0.5608308597020314,0.8873239415790518,0.6872722514383443,0.5283159403791423,378,296,48,0.15,variants
0.7453183492684706,0.6317460297404888,0.6838482983022229,0.6674402452491255,199,68,116,0.25,variants
0.8596491152662359,0.3426573414592401,0.48999959000033816,0.742083153916674,98,16,188,0.35,variants
0.8936170022634681,0.15053763386904073,0.2576684633033309,0.7783409352513387,42,5,237,0.45,variants
0.4703476477808306,0.9563409543527215,0.6305684399516222,0.45233963820139367,460,518,21,0.05,hybrid
0.6496674043244626,0.8184357519038108,0.7243505554969816,0.5877281623858155,293,158,65,0.15,hybrid
0.8163265250590033,0.4166666652199074,0.5517236879274334,0.7134494171735235,120,27,168,0.25,hybrid
0.8627450811226455,0.15770609262470936,0.26666640372844425,0.7546880359341409,44,7,235,0.35,hybrid
0.7857142295918408,0.03942652315617734,0.07508523272267573,0.6433408902292805,11,3,268,0.45,hybrid
